No.,Name,Meaning
0,Aban,"Fortress (or castle). Strength, seat of power, authority, and magnificence."
1,Abe Dua,"Palm tree. A symbol of wealth, resourcefulness, and self-sufficiency."
2,Adinkrahene,"King of the Adinkra symbols. A symbol for authority, leadership, and charisma, qualities associated with kings. "
3,Adwo,"Calmness. A symbol for peace, tranquility, and quiet."
4,Agyin Dawuru,"Agyin's gong. A symbol of faithfulness, alertness, and dutifulness."
5,Akoben,"War horn. A symbol of a call to action, readiness to be called to action, readiness, and voluntarism."
6,Akofena,"A sword of war (or the state ceremonial swords). A symbol of state authority, legality, the legitimized authority of a ruler, recognition of gallantry of heroic deeds."
7,Akoko Nan,The foot of a hen. A symbol for discipline coupled with care and nurturing.
8,Akoma,"Heart. A symbol of love, goodwill, patience, faithfulness, fondness, endurance, and consistency."
9,Akoma Ntoaso,"Joining of hearts. A symbol of agreement, togetherness and unity or a charter. An amplification of the concept of Akoma"
10,Ananse Ntentan (Ananse Ntontan),"Spider's web. A symbol of wisdom, craftiness, creativity, and the complexities of life."
11,Ani Bere A Enso Gya," A symbol of patience, self-containment, self-discipline, and self-control."
12,Asase Ye Duru,The earth has weight. A symbol of providence and the divinity of Mother Earth.
13,Aya,"Fern. A symbol of endurance, independence, defiance against difficulties, hardiness, perseverance, and resourcefulness."
14,Bese Saka,"Bunch of cola nuts. A symbol of affluence, power, abundance, and plenty. Also a symbol of togetherness and unity"
15,Bi Nka Bi,"Fern. A symbol of endurance, independence, defiance against difficulties, hardiness, perseverance, and resourcefulness."
16,Dame Dame,"Checkered. A symbol of craftiness, intelligence, and strategy."
17,Denkyem,Crocodile. A symbol of adaptability and cleverness.
18,Dono,"The tension talking drum. A symbol of appelation, praise, goodwill and rhythm."
19,Dono Ntoaso,"The double dono; joined tension talking drum. A symbol of united action, alertness, goodwill, praise, rejoicing, and adroitness."
20,Duafe,"Wooden comb. A symbol of feminine consideration or good feminine qualities such as patience, prudence, fondness, love, and care."
21,Dwennimmen,"Ram's horns. A symbol of strength (in mind, body, and soul), humility, wisdom, and learning."
22,Eban,"Fence. A symbol of safety, security, and love."
23,Epa,Handcuffs. A symbol of law and justice.
24,Ese ne Tekrema,"Teeth and tongue. A symbol of improvement, advancement, growth, the need for friendliness and interdependence."
25,Fafanto,"Butterfly. A symbol of tenderness, gentleness, honesty, and fragility."
26,Fihankra,"An enclosed or secured compound house. A symbol of brotherhood, safety, security, completeness, and solicarity."
27,Fofo,A flowering plant (bidens pilosa). A symbol of warning against jealousy and covetousness.
28,Funtumfunefu Denkyemfunefu,Conjoined crocodiles. A symbol of unity in diversity giving a common destiny; sharing.
29,Gyawu Atiko,The back of Gyawu's head. A symbol of valor and bravery. 
30,Gye Nyame,Except God. A symbol expressing the omnipotence of God.
31,Hwehwemudua,"Measuring rod (rod of investigation) or rule. A symbol of excellence, superior quality, perfection, knowledge, and critical examination."
32,Hye Wo Nhye,"Burn you won't burn (fig. unburnable). A symbol of toughness, imperishability, and permanence."
33,Kramo Bone Amma Yeanhu Kramo Pa,A symbol of warning against deception and hypocrisy.
34,Kuronti ne Akwamu,"Kuronti and Akwamu. A symbol of democracy, sharing ideas, taking council."
35,Kwatakye Atiko,The back of Kwatakye's head. A symbol of valor and bravery.
36,Mako,Peppers. A symbol of inequality and uneven development.
37,Menso Wo Kenten,"A symbol of industry, self-reliance, and economic self-determination."
38,Mframadan,Well-ventilated house. A symbol of resilience and readiness to face the vicissitudes of life.
39,Mmere Dane,Time chanegs (times change). A symbol of the temporariness of good times.
40,Mpatapo,"Pacification knot. A symbol of pacification, forgiveness, and reconciliation."
41,Mpuannum,Five tufts (of hair). A symbol of loyalty and priestly office
42,Nea Onnim,He who does not know can still get to know.
43,Nkonsonkonson,"Chain. A symbol of unity, community."
44,Nkyinkyim,Twisting. A symbol representing the tortuous nature of life's journey.
45,Nsaa,"A type of woven cloth, renowned for its quality. A symbol of excellence, genuineness, and authenticity."
46,Nsoromma,"Star (literally, ""child of the heavens""). Faith and the belief in patronage and dependency on a supreme being"
47,Nteasee,Understanding. A symbol for understanding and cooperation.
48,Nyame Biribi Wo Soro,"God, there is something in the heavens. From the saying. A symbol of hope and inspiration.""God, there is something up there (in the heavens); let it come to me."" "
49,Nyame Dua,God's tree (sacred stump). A symbol of God's presence and protection.
50,Nyame Nwu Na Mawu,A symbol expressing the immortality of the human soul.
51,Odo Nnyew Fie Kwan,Love does not lose its way home. Those led by love always end up in the right place.
52,Okuafo Pa,"Good farmer. A symbol of diligence, hard work, and entrepreneurship."
53,Osram ne Nsoromma,"Moon and star. A symbol of faithfulness, fondness, harmony, benevolence, love, loyalty, and femininity."
54,Owuo Atwedee,Ladder of death. A symbol of the certainty and universality of death.
55,Sankofa,Go back and get it! A symbol of the wisdom of learning from the past to build for the future. 
56,Sepow,Executioner's knife. A symbol of justice.
57,Tamfo Bebre,"The enemy will suffer; the enemy will stew in his own juice. A symbol for ill-will, jealousy, and envy."
58,UAC Nkanea,UAC lights. A symbol of technological advancement.
59,Wawa Aba,"Seed of the wawa tree. A symbol of hardiness, toughness, and perseverance."
60,Woforo Dua Pa A,When you climb a good tree. A symbol of support for good causes.
